충전소명,충전소위치상세,설치시도명,휴점일,이용가능시작시각,이용가능종료시각,완속충전가능여부,급속충전가능여부,급속충전타입구분,완속충전기대수,급속충전기대수,주차료부과여부,소재지도로명주소,소재지지번주소,관리업체명,관리업체전화번호,위도,경도,데이터기준일자
경기용인 엘지빌리지5차4,경기용인 엘지빌리지5차4,경기도,-,0:00,24:00:00,Y,N,AC완속,2,0,N,경기도 용인시 수지구 신봉1로 110,경기도 용인시 수지구 신봉동 870번지 1주차장 지하2층 3기둥(신봉마을 엘지빌리지5차 1주차장(501~504동) 지하2층 3기둥),에버온,1661-7766,37.32539512,127.0754083,2022-10-12
경기용인 웰메이드시티337,경기용인 웰메이드시티337,경기도,-,0:00,24:00:00,Y,N,AC완속,2,0,N,경기도 용인시 처인구 금령로106번길 14-8,경기도 용인시 처인구 김량장동 84-3번지,에버온,1661-7766,37.23457334,127.2072336,2022-10-12
경기용인 이편한세상수지1,경기용인 이편한세상수지1,경기도,-,0:00,24:00:00,Y,N,AC완속,3,0,N,경기도 용인시 수지구 포은대로313번길 7-10,경기도 용인시 수지구 풍덕천동 1209번지 106동 지하1층 B02기둥(e편한세상 수지 106동 지하1층 B02기둥),에버온,1661-7766,37.31461189,127.0848247,2022-10-12
경기용인 이편한세상수지2,경기용인 이편한세상수지2,경기도,-,0:00,24:00:00,Y,N,AC완속,2,0,N,경기도 용인시 수지구 포은대로313번길 7-10,경기도 용인시 수지구 풍덕천동 1209번지 108동 지하1층 B87기둥(e편한세상 수지 108동 지하1층 B87기둥),에버온,1661-7766,37.31461189,127.0848247,2022-10-12
경기용인 임원마을영화1차 1,경기용인 임원마을영화1차 1,경기도,-,0:00,24:00:00,Y,N,AC완속,2,0,N,경기도 용인시 처인구 경안천로256번길 47-16(996 임원마을영화아파트),경기도 용인시 처인구 고림동 996번지 임원마을영화아파트,에버온,1661-7766,37.25246639,127.2261537,2022-10-12
용인 수지삼성1차1,용인 수지삼성1차1,경기도,-,0:00,24:00:00,Y,N,AC완속,2,0,N,"경기도 용인시 수지구 수풍로 13 (풍덕천동, 삼성래미안1차아파트)",경기도 용인시 수지구 풍덕천동 693번지 삼성래미안1차아파트,에버온,1661-7766,37.3263897,127.0890378,2022-10-12
용인 수지삼성1차2,용인 수지삼성1차2,경기도,-,0:00,24:00:00,Y,N,AC완속,2,0,N,경기도 용인시 수지구 수풍로 13,경기도 용인시 수지구 풍덕천동 693번지 103동 B1주차장 B5기둥,에버온,1661-7766,37.32586459,127.0883747,2022-10-12
용인 죽전일성트루엘,용인 죽전일성트루엘,경기도,-,0:00,24:00:00,Y,N,AC완속,1,0,N,경기도 용인시 기흥구 용구대로2469번길 10,경기도 용인시 기흥구 보정동 1293번지 죽전 일성트루엘 B5F 10번 구역,에버온,1661-7766,37.30752747,127.1060672,2022-10-12
용인 중앙동주민센터,용인 중앙동주민센터,경기도,"토, 일",9:00,18:00,Y,N,AC완속,1,0,N,경기도 용인시 처인구 금령로78번길 8,경기도 용인시 처인구 김량장동 296-41번지,에버온,1661-7766,37.23452245,127.2048888,2022-10-12
용인 행림마을진로아파트,용인 행림마을진로아파트,경기도,-,0:00,24:00:00,Y,N,AC완속,2,0,N,"경기도 용인시 수지구 고기로 11 (동천동, 행림마을진로아파트)",경기도 용인시 수지구 동천동 177-12번지 행림마을진로아파트,에버온,1661-7766,37.34254406,127.1000024,2022-10-12
용인김량장동현대아파트,용인김량장동현대아파트,경기도,-,0:00,24:00:00,Y,N,AC완속,3,0,N,"경기도 용인시 처인구 백옥대로1068번길 12 (김량장동, 현대아파트)",경기도 용인시 처인구 김량장동 4-2번지 현대아파트,에버온,1661-7766,37.23051763,127.2111497,2022-10-12
용인두보아파트,용인두보아파트,경기도,-,0:00,24:00:00,Y,N,AC완속,2,0,N,경기도 용인시 처인구 금령로173번길 12-1,경기도 용인시 처인구 마평동 923번지 지하1층주차장 기계실옆,에버온,1661-7766,37.23542388,127.2159562,2022-10-12
용인 수지삼성1차3,용인 수지삼성1차3,경기도,-,0:00,24:00:00,Y,N,AC완속,2,0,N,경기도 용인시 수지구 수풍로 13,경기도 용인시 수지구 풍덕천동 693번지 106동 B1주차장-C1기둥,에버온,1661-7766,37.32691246,127.0890237,2022-10-12
용인 신봉마을동일하이빌3단지아파트1,용인 신봉마을동일하이빌3단지아파트1,경기도,-,0:00,24:00:00,Y,N,AC완속,3,0,N,"경기도 용인시 수지구 신봉3로 25 (신봉동, 신봉마을동일하이빌3단지)",경기도 용인시 수지구 신봉동 985번지 신봉마을동일하이빌3단지,에버온,1661-7766,37.32647453,127.0673205,2022-10-12
용인 신봉마을동일하이빌3단지아파트2,용인 신봉마을동일하이빌3단지아파트2,경기도,-,0:00,24:00:00,Y,N,AC완속,2,0,N,"경기도 용인시 수지구 신봉3로 25 (신봉동, 신봉마을동일하이빌3단지)",경기도 용인시 수지구 신봉동 985번지 신봉마을동일하이빌3단지,에버온,1661-7766,37.32647453,127.0673205,2022-10-12
용인 신봉마을동일하이빌3단지아파트4,용인 신봉마을동일하이빌3단지아파트4,경기도,-,0:00,24:00:00,Y,N,AC완속,3,0,N,"경기도 용인시 수지구 신봉3로 25 (신봉동, 신봉마을동일하이빌3단지)",경기도 용인시 수지구 신봉동 985번지 신봉마을동일하이빌3단지,에버온,1661-7766,37.32647453,127.0673205,2022-10-12
용인 신봉마을엘지빌리지5차아파트1,용인 신봉마을엘지빌리지5차아파트1,경기도,-,0:00,24:00:00,Y,N,AC완속,3,0,N,경기도 용인시 수지구 신봉1로 112-2,경기도 용인시 수지구 신봉동 870번지 C주차장 지하2 3대(신봉마을 엘지빌리지5차 C주차장 지하2 3대),에버온,1661-7766,37.32658578,127.0731328,2022-10-12
우남퍼스트빌아파트,우남퍼스트빌아파트,경기도,-,0:00,24:00:00,Y,N,AC완속,10,0,N,경기도 용인시 수지구 신봉1로 27,경기도 용인시 수지구 신봉동 905번지 서홍마을우남퍼스트빌,파워큐브,1833-8017,37.32047121,127.0798038,2022-10-12
우림홀인원입주자대표회의,우림홀인원입주자대표회의,경기도,-,0:00,24:00:00,Y,N,AC완속,5,0,N,경기도 용인시 기흥구 고매로34번길 31(880 매화마을우림홀인원아파트),경기도 용인시 기흥구 고매동 880번지 매화마을우림홀인원아파트,파워큐브,1833-8017,37.22866675,127.1150339,2022-10-12
우미린센트럴파크아파트,우미린센트럴파크아파트,경기도,-,0:00,24:00:00,Y,N,AC완속,10,0,N,경기도 용인시 처인구 명지로16번길 25,경기도 용인시 처인구 역북동 736번지 우미린센트럴파크,파워큐브,1833-8017,37.23305909,127.1861581,2022-10-12
이스턴팰리스입주자대표회의,이스턴팰리스입주자대표회의,경기도,-,0:00,24:00:00,Y,N,AC완속,5,0,N,경기도 용인시 수지구 풍덕천로30번길 20,경기도 용인시 수지구 풍덕천동 240-3번지 이스턴팰리스 Eastern Palace,파워큐브,1833-8017,37.31643221,127.0872637,2022-10-12
이스트팰리스3단지-1301동,이스트팰리스3단지-1301동,경기도,-,0:00,24:00:00,Y,N,AC완속,3,0,N,경기도 용인시 수지구 동천로135번길 21,경기도 용인시 수지구 동천동 932번지 한빛마을래미안이스트팰리스3단지,파워큐브,1833-8017,37.33465432,127.0887218,2022-10-12
